Estrella,logP,A0,A1,A2,phi21,phi31,Clase
V10,-0.06555576498806817,15.136448224034895,0.06061687845187622,0.03134447521133978,4.797479701169273,5.349506529788858,RRc
V11,-0.074646510070615,15.195961625856365,0.024125288547769793,0.14326971344676018,0.19125219482969325,3.684314502694132,RRc
V12,-0.08633116442754228,15.070054849353378,0.009440770633299596,0.21334625402945698,1.7713059770061843,0.5974358412776688,RRc
V13,0.017007828632819216,15.175015760277951,0.0014974309767009754,0.004097383646706142,4.8287165011758955,1.8181740443280763,RRc
V1,-0.07432424472390824,15.143319512198271,0.15659977260250477,0.05668056500505428,3.9718993849587663,4.356606241405904,RRab
V25,-0.3707402026243751,15.136382092982275,0.21444310017536938,0.06514605077330209,0.5851364127449692,4.9796280365954,RRab
V29,-0.0719715643633369,15.443574419764808,0.2201927727334269,0.23879305208729756,4.7953322623198815,1.4983420633146984,RRab
V2,-0.08613442119811035,15.113020824449526,0.0378254860029818,0.1857048747608196,3.0524024389960385,2.868856782844901,RRab
V30,-0.07413080441801775,13.96873989425784,0.10938853225036768,0.045042493633409265,4.974879186082605,2.166495587534347,BL Her
V31,-0.09864694398229398,14.86369332771071,0.03051320142572106,0.20969674547371392,3.368884227073865,0.497324677755401,RRc
V32,-0.10887030930767827,15.162039802024013,0.03121310470455456,0.015105760465444594,1.0620930467343719,1.9496944519252288,RRc
V33,-0.07530254728398822,16.440970928776366,0.015885488625272986,0.010411879681002868,5.862744926445006,2.421913269961866,SX Phe
V34,-0.37024091180289215,15.43156077493245,0.0026102086135618,0.0053374550471199725,2.172427937941718,3.953999515633482,SX Phe
V35,-0.16865515066185496,16.574140628987507,0.0038765735426576522,0.009212779450036764,6.24623837356282,1.780673624540932,Sx Phe
V36,-0.3698482007877782,15.426439349865095,0.0021655974317920787,0.0010537524733193783,3.7971171675430213,3.4136877102008243,SX Phe
V37,-0.3499401790656102,16.946753531367936,0.0038974337259634335,0.004287986236999736,0.8613049231811356,3.325668247551901,SX Phe
V38,-0.14979361544036526,17.5185926552174,0.009133728149394988,0.0009096722009692426,5.227180051060854,3.3089461458025067,SX Phe
V39,-0.07325911074481493,17.698880750637617,0.007153110949969651,0.007006018483983929,2.109884947242284,4.645670535897334,RRc
V3,-0.19551973978147597,15.155123820920881,0.41123815162736915,0.16935054770594665,3.940019954063648,1.8196550924363226,RRab
V40,-0.17443256181988595,14.696256325422086,0.0029224392484401784,0.019709493585375246,4.482281225901728,5.706182666189606,RRd
V41,-0.11650613558910945,15.191451975353193,0.022999610894954114,0.054489964046618766,0.2626089087047152,3.644154660593868,SX Phe
V42,-0.05165690576884806,17.214065579376108,0.019449152099248204,0.03034074859197058,0.763268427851834,0.8407044061593183,SR
V4,-0.14415785005278442,15.064622460800411,0.0831728928127241,0.2072548407680179,4.279953107870909,0.6549659192310333,RRab
V5,-0.3698166181725131,15.097750035376949,0.3330779296759904,0.0823441730528473,4.343244161405915,3.512209107816359,RRab
V6,-0.12274352148772516,14.9788698434453,0.2909625860211236,0.3045466975270907,4.575602367910108,0.07777604042916586,RRab
V7,-0.1513896832689954,14.309963960297738,0.0953916997205684,0.11994168040302053,2.410989682321435,5.8372914373048665,AC
V8,-0.17173354398001428,15.186882510339638,0.292737652910706,0.11882784060346611,3.98757019107496,1.9190916215582323,RRab
V9,-0.19114393311582165,15.19205034319878,0.2281405356958614,0.08367946617049325,3.353102774681258,5.301603551771818,RRab
